id_transaksi,nama_barang
1,kalung
1,liontin
2,gelang kaki
3,kalung+liontin
4,cincin permata
4,anting
5,kalung
5,kalung+liontin
5,cincin permata
5,cincin permata
6,cincin polos
6,anting
7,gelang tangan
8,gelang tangan
8,cincin polos
9,cincin permata
10,kalung
10,liontin
11,cincin permata
12,kalung
12,liontin
13,anting
14,cincin permata
15,cincin polos
16,kalung
16,cincin permata
17,kalung
18,gelang tangan
19,gelang tangan
20,anting
21,gelang tangan
21,logam mulia
22,gelang tangan
23,kalung
24,kalung+liontin
25,cincin polos
26,gelang tangan
27,kalung
28,gelang tangan
29,gelang tangan
29,cincin permata
30,gelang tangan
31,gelang tangan
32,kalung
33,gelang tangan
33,cincin permata
34,cincin polos
35,cincin permata
36,kalung
36,liontin
37,kalung
38,cincin polos
39,gelang tangan
39,cincin polos
40,cincin permata
41,cincin polos
42,anting
43,cincin polos
44,cincin polos
45,kalung
45,liontin
45,cincin polos
46,cincin permata
47,cincin polos
48,kalung
48,cincin polos
49,gelang tangan
50,cincin permata
51,cincin polos
52,gelang tangan
53,cincin polos
53,gelang tangan
54,anting
55,kalung
56,cincin permata
57,gelang tangan
58,gelang tangan
59,gelang tangan
59,cincin permata
59,anting
60,cincin polos
61,cincin permata
62,gelang tangan
62,cincin permata
63,gelang tangan
63,anting
64,gelang tangan
65,logam mulia
66,gelang tangan
67,cincin permata
68,anting
69,gelang tangan
70,cincin permata
71,cincin permata
72,cincin polos
72,cincin polos
72,cincin permata
73,kalung
74,cincin polos
75,cincin permata
76,cincin permata
77,cincin permata
78,logam mulia
79,cincin polos
80,cincin polos
81,cincin polos
82,cincin polos
83,cincin permata
84,gelang tangan
84,kalung
85,cincin permata
86,cincin permata
87,gelang tangan
88,cincin permata
89,cincin polos
90,kalung
91,cincin polos
91,gelang tangan
92,cincin polos
93,cincin polos
93,cincin permata
94,anting
95,cincin polos
96,gelang tangan
96,cincin permata
97,gelang tangan
98,cincin permata
99,logam mulia
100,gelang tangan
101,gelang tangan
101,cincin permata
102,cincin permata
103,cincin permata
104,kalung
